vgg16_loss,vgg16_accuracy,vgg16_val_loss,vgg16_val_accuracy,vgg19_loss,vgg19_accuracy,vgg19_val_loss,vgg19_val_accuracy,resnet50_loss,resnet50_accuracy,resnet50_val_loss,resnet50_val_accuracy
"[2.175586223602295, 2.0669167041778564, 1.9716451168060303, 1.8593761920928955, 1.7077689170837402, 1.5373802185058594, 1.4211713075637817, 1.294156789779663, 1.1830661296844482, 1.1314417123794556, 1.0424820184707642, 0.9734535813331604, 0.9152165055274963, 0.812554121017456, 0.75851970911026, 0.7460524439811707, 0.6616684794425964, 0.5748737454414368, 0.5907136797904968, 0.48512202501296997]","[0.2407948523759842, 0.2630040943622589, 0.29222676157951355, 0.33255407214164734, 0.399766206741333, 0.4634716510772705, 0.4950321316719055, 0.5406194925308228, 0.5639976859092712, 0.5938047766685486, 0.6224430203437805, 0.6481589674949646, 0.6756283044815063, 0.7060198783874512, 0.726475715637207, 0.723553478717804, 0.7650496959686279, 0.786674439907074, 0.7860900163650513, 0.8310929536819458]","[2.1811773777008057, 2.0768330097198486, 2.0835583209991455, 1.7892651557922363, 1.7236216068267822, 1.4617403745651245, 1.4194636344909668, 1.3546621799468994, 1.2520970106124878, 1.222303032875061, 1.1873891353607178, 1.2463139295578003, 1.1727787256240845, 1.0260865688323975, 1.0975537300109863, 1.07500159740448, 1.133557677268982, 1.1444447040557861, 1.1151962280273438, 1.392967939376831]","[0.2408376932144165, 0.2931937277317047, 0.28272250294685364, 0.37172773480415344, 0.4083769619464874, 0.46073299646377563, 0.5078533887863159, 0.518324613571167, 0.5654450058937073, 0.5602094531059265, 0.5602094531059265, 0.5759162306785583, 0.6387434601783752, 0.6439790725708008, 0.6439790725708008, 0.6282722353935242, 0.6178010702133179, 0.6649214625358582, 0.6387434601783752, 0.6492146849632263]",,,,,,,,
,,,,"[2.1815552711486816, 2.112886905670166, 2.1090521812438965, 2.0643770694732666, 1.9941893815994263, 1.916306972503662, 1.798627495765686, 1.6401386260986328, 1.5475691556930542, 1.4046857357025146, 1.3186407089233398, 1.2167953252792358, 1.1983469724655151, 1.105782151222229, 1.0331798791885376, 0.9636908173561096, 0.9393202662467957, 0.8283637762069702, 0.8586007952690125, 0.7808476686477661]","[0.2407948523759842, 0.24371711909770966, 0.24371711909770966, 0.2624196410179138, 0.28345996141433716, 0.3109292685985565, 0.3600233793258667, 0.42139101028442383, 0.46113383769989014, 0.5014611482620239, 0.5248392820358276, 0.5639976859092712, 0.5610753893852234, 0.5990648865699768, 0.6183518171310425, 0.6528345942497253, 0.6575102210044861, 0.7019286751747131, 0.6884862780570984, 0.717708945274353]","[2.180375099182129, 2.1807501316070557, 2.1820831298828125, 2.078413963317871, 2.091808795928955, 1.8989225625991821, 1.7853882312774658, 1.52631413936615, 1.5037124156951904, 1.3892168998718262, 1.3973252773284912, 1.2772927284240723, 1.2386711835861206, 1.2359517812728882, 1.163251280784607, 1.1409435272216797, 1.0753393173217773, 1.1863170862197876, 1.1290916204452515, 1.0981855392456055]","[0.2408376932144165, 0.2408376932144165, 0.2408376932144165, 0.27225130796432495, 0.2408376932144165, 0.3664921522140503, 0.376963347196579, 0.45026177167892456, 0.4712041914463043, 0.5026177763938904, 0.5130890011787415, 0.5445026159286499, 0.5287958383560181, 0.5392670035362244, 0.5706806182861328, 0.5759162306785583, 0.5968586206436157, 0.6335078477859497, 0.6125654578208923, 0.6649214625358582]",,,,
,,,,,,,,"[23.05048179626465, 10.607751846313477, 9.40118408203125, 7.067506790161133, 6.874081611633301, 4.908689498901367, 4.967762470245361, 4.299875259399414, 4.329874515533447, 3.4317033290863037, 3.3493714332580566, 3.0158960819244385, 2.838162422180176, 2.4069137573242188, 2.621506452560425, 2.2395026683807373, 2.019585132598877, 1.7840445041656494, 1.6863930225372314, 1.6123102903366089]","[0.15780244767665863, 0.184102863073349, 0.2150789052248001, 0.2326125055551529, 0.26826417446136475, 0.30917590856552124, 0.35710111260414124, 0.37346580624580383, 0.38983049988746643, 0.41788429021835327, 0.4646405577659607, 0.47691407799720764, 0.5002922415733337, 0.5236703753471375, 0.5563997626304626, 0.5885447263717651, 0.6031560301780701, 0.6259497404098511, 0.6411455273628235, 0.6610169410705566]","[179.23687744140625, 19.916400909423828, 65.41213989257812, 21.21037483215332, 12.647120475769043, 14.11638069152832, 11.966751098632812, 6.272508144378662, 9.02656364440918, 15.979708671569824, 15.324847221374512, 13.322379112243652, 8.072267532348633, 6.662248134613037, 13.07136058807373, 5.267850875854492, 3.9103927612304688, 11.801753044128418, 12.02354907989502, 4.526386737823486]","[0.09424083679914474, 0.10471203923225403, 0.10471203923225403, 0.16230367124080658, 0.2879581153392792, 0.3193717300891876, 0.4188481569290161, 0.4031413495540619, 0.4188481569290161, 0.4188481569290161, 0.47643980383872986, 0.4712041914463043, 0.5078533887863159, 0.5130890011787415, 0.5759162306785583, 0.5497382283210754, 0.6125654578208923, 0.554973840713501, 0.5706806182861328, 0.6282722353935242]"
